CV,Keyword,Keyword Frequency,Sentiment Score
CV 1,Leadership,10,0.68
CV 1,Innovation,4,0.47
CV 1,Teamwork,4,0.74
CV 1,Communication,3,0.69
CV 1,Problem Solving,8,0.83
CV 2,Leadership,5,0.69
CV 2,Innovation,2,0.8
CV 2,Teamwork,6,0.92
CV 2,Communication,7,0.47
CV 2,Problem Solving,7,0.86
CV 3,Leadership,2,0.61
CV 3,Innovation,7,0.43
CV 3,Teamwork,7,0.86
CV 3,Communication,4,0.78
CV 3,Problem Solving,7,0.6
CV 4,Leadership,2,0.41
CV 4,Innovation,7,0.59
CV 4,Teamwork,2,0.68
CV 4,Communication,1,0.48
CV 4,Problem Solving,7,0.53
CV 5,Leadership,3,0.85
CV 5,Innovation,9,0.63
CV 5,Teamwork,4,0.75
CV 5,Communication,2,0.74
CV 5,Problem Solving,7,0.68
CV 6,Leadership,10,0.93
CV 6,Innovation,1,0.55
CV 6,Teamwork,1,0.5
CV 6,Communication,4,0.96
CV 6,Problem Solving,2,0.52
CV 7,Leadership,5,0.98
CV 7,Innovation,7,0.84
CV 7,Teamwork,3,0.48
CV 7,Communication,4,0.79
CV 7,Problem Solving,1,0.65
CV 8,Leadership,9,0.87
CV 8,Innovation,10,0.69
CV 8,Teamwork,7,0.45
CV 8,Communication,5,0.65
CV 8,Problem Solving,3,0.55
CV 9,Leadership,9,0.98
CV 9,Innovation,9,0.69
CV 9,Teamwork,9,0.78
CV 9,Communication,10,0.42
CV 9,Problem Solving,6,0.77
CV 10,Leadership,6,0.84
CV 10,Innovation,4,0.92
CV 10,Teamwork,1,0.78
CV 10,Communication,4,0.75
CV 10,Problem Solving,4,0.42
CV 11,Leadership,6,0.75
CV 11,Innovation,4,0.89
CV 11,Teamwork,2,0.52
CV 11,Communication,10,0.68
CV 11,Problem Solving,8,0.67
CV 12,Leadership,6,0.47
CV 12,Innovation,8,0.53
CV 12,Teamwork,9,0.84
CV 12,Communication,2,0.93
CV 12,Problem Solving,9,0.74
CV 13,Leadership,1,0.7
CV 13,Innovation,2,0.76
CV 13,Teamwork,4,0.57
CV 13,Communication,6,0.6
CV 13,Problem Solving,10,0.7
CV 14,Leadership,3,0.86
CV 14,Innovation,10,0.68
CV 14,Teamwork,8,1.0
CV 14,Communication,5,0.67
CV 14,Problem Solving,2,0.78
CV 15,Leadership,6,0.49
CV 15,Innovation,2,0.65
CV 15,Teamwork,4,0.96
CV 15,Communication,2,0.43
CV 15,Problem Solving,3,0.51
CV 16,Leadership,8,0.96
CV 16,Innovation,9,0.41
CV 16,Teamwork,6,0.7
CV 16,Communication,10,0.79
CV 16,Problem Solving,7,0.82
CV 17,Leadership,7,0.92
CV 17,Innovation,6,0.69
CV 17,Teamwork,9,0.6
CV 17,Communication,5,0.75
CV 17,Problem Solving,2,0.46
CV 18,Leadership,4,0.87
CV 18,Innovation,10,0.7
CV 18,Teamwork,8,0.4
CV 18,Communication,4,0.56
CV 18,Problem Solving,8,0.58
CV 19,Leadership,6,0.51
CV 19,Innovation,5,0.42
CV 19,Teamwork,7,0.89
CV 19,Communication,1,0.82
CV 19,Problem Solving,1,0.89
CV 20,Leadership,5,0.78
CV 20,Innovation,9,0.93
CV 20,Teamwork,6,0.73
CV 20,Communication,9,0.84
CV 20,Problem Solving,6,0.47
CV 21,Leadership,4,0.99
CV 21,Innovation,2,0.49
CV 21,Teamwork,1,0.81
CV 21,Communication,4,0.62
CV 21,Problem Solving,5,0.49
CV 22,Leadership,6,0.75
CV 22,Innovation,9,0.45
CV 22,Teamwork,1,0.62
CV 22,Communication,1,0.53
CV 22,Problem Solving,3,0.99
CV 23,Leadership,5,0.74
CV 23,Innovation,5,0.87
CV 23,Teamwork,4,0.59
CV 23,Communication,3,0.87
CV 23,Problem Solving,4,0.5
CV 24,Leadership,4,0.56
CV 24,Innovation,7,0.82
CV 24,Teamwork,2,0.97
CV 24,Communication,5,0.89
CV 24,Problem Solving,10,0.59
CV 25,Leadership,10,0.93
CV 25,Innovation,8,0.69
CV 25,Teamwork,2,0.52
CV 25,Communication,9,0.83
CV 25,Problem Solving,7,0.82
CV 26,Leadership,9,0.47
CV 26,Innovation,4,0.64
CV 26,Teamwork,7,0.48
CV 26,Communication,7,0.63
CV 26,Problem Solving,2,0.88
CV 27,Leadership,4,0.95
CV 27,Innovation,7,0.94
CV 27,Teamwork,10,0.95
CV 27,Communication,9,0.69
CV 27,Problem Solving,5,0.58
CV 28,Leadership,8,0.51
CV 28,Innovation,2,0.68
CV 28,Teamwork,10,0.64
CV 28,Communication,9,0.45
CV 28,Problem Solving,10,0.63
CV 29,Leadership,6,0.91
CV 29,Innovation,8,0.52
CV 29,Teamwork,8,0.53
CV 29,Communication,7,0.46
CV 29,Problem Solving,4,0.68
CV 30,Leadership,2,0.51
CV 30,Innovation,4,0.64
CV 30,Teamwork,4,0.82
CV 30,Communication,3,0.8
CV 30,Problem Solving,7,0.45
CV 31,Leadership,9,0.4
CV 31,Innovation,5,0.64
CV 31,Teamwork,6,0.74
CV 31,Communication,4,0.51
CV 31,Problem Solving,5,0.93
CV 32,Leadership,2,0.96
CV 32,Innovation,4,0.62
CV 32,Teamwork,1,0.4
CV 32,Communication,7,0.6
CV 32,Problem Solving,1,0.9
CV 33,Leadership,6,0.47
CV 33,Innovation,8,0.55
CV 33,Teamwork,3,0.81
CV 33,Communication,4,0.52
CV 33,Problem Solving,10,0.98
CV 34,Leadership,4,0.48
CV 34,Innovation,7,0.53
CV 34,Teamwork,3,0.63
CV 34,Communication,5,0.87
CV 34,Problem Solving,5,0.5
CV 35,Leadership,9,0.54
CV 35,Innovation,4,0.75
CV 35,Teamwork,3,0.93
CV 35,Communication,5,0.98
CV 35,Problem Solving,8,0.91
CV 36,Leadership,3,0.75
CV 36,Innovation,5,0.59
CV 36,Teamwork,3,0.64
CV 36,Communication,4,0.63
CV 36,Problem Solving,4,0.96
CV 37,Leadership,5,0.62
CV 37,Innovation,1,0.68
CV 37,Teamwork,5,0.7
CV 37,Communication,5,0.88
CV 37,Problem Solving,8,0.72
CV 38,Leadership,1,0.71
CV 38,Innovation,2,0.7
CV 38,Teamwork,7,0.55
CV 38,Communication,5,0.73
CV 38,Problem Solving,8,0.41
CV 39,Leadership,5,0.48
CV 39,Innovation,1,0.65
CV 39,Teamwork,6,0.81
CV 39,Communication,3,0.99
CV 39,Problem Solving,8,0.57
CV 40,Leadership,8,0.4
CV 40,Innovation,3,0.41
CV 40,Teamwork,6,0.85
