CV,Keyword,Keyword Frequency,Sentiment Score
CV 1,Leadership,6,0.5106131090821372
CV 1,Innovation,8,0.5729865875069867
CV 1,Teamwork,8,0.9737942282583646
CV 1,Communication,6,0.856357915076111
CV 1,Problem Solving,2,0.945757139352532
CV 2,Leadership,2,0.5110617364692197
CV 2,Innovation,9,0.624461099186212
CV 2,Teamwork,10,1.0
CV 2,Communication,6,0.8431099994179238
CV 2,Problem Solving,3,0.9409095942881882
CV 3,Leadership,6,0.5615960321291557
CV 3,Innovation,7,0.6038246227819732
CV 3,Teamwork,9,0.9990704633782898
CV 3,Communication,7,0.9176487400008146
CV 3,Problem Solving,2,0.9304733922896335
CV 4,Leadership,3,0.5068704224088119
CV 4,Innovation,9,0.6377188503676643
CV 4,Teamwork,8,1.0
CV 4,Communication,4,0.8703077499055745
CV 4,Problem Solving,1,1.0
CV 5,Leadership,4,0.5267056440763814
CV 5,Innovation,7,0.6363495096883458
CV 5,Teamwork,8,0.9667259083476282
CV 5,Communication,7,0.8515108474772712
CV 5,Problem Solving,0,0.9351251348544307
CV 6,Leadership,3,0.49722411280090484
CV 6,Innovation,10,0.6266365093763568
CV 6,Teamwork,8,0.9679743291586224
CV 6,Communication,3,0.8852124913900618
CV 6,Problem Solving,4,0.9425128672834525
CV 7,Leadership,4,0.5623646006987918
CV 7,Innovation,8,0.5737465884633327
CV 7,Teamwork,11,1.0
CV 7,Communication,7,0.8331387697426299
CV 7,Problem Solving,2,0.9408352796388096
CV 8,Leadership,4,0.5554839292911657
CV 8,Innovation,7,0.5954140477461287
CV 8,Teamwork,11,1.0
CV 8,Communication,6,0.8884778188642318
CV 8,Problem Solving,2,1.0
CV 9,Leadership,6,0.576354461376778
CV 9,Innovation,6,0.5505597554313619
CV 9,Teamwork,10,1.0
CV 9,Communication,6,0.8439852744113225
CV 9,Problem Solving,3,1.0
CV 10,Leadership,2,0.524271594208844
CV 10,Innovation,10,0.5607030304750251
CV 10,Teamwork,11,1.0
CV 10,Communication,4,0.8506465161057872
CV 10,Problem Solving,0,1.0
CV 11,Leadership,3,0.5652323356956437
CV 11,Innovation,8,0.6323160961020241
CV 11,Teamwork,7,0.9555528756447688
CV 11,Communication,5,0.8965722311016197
CV 11,Problem Solving,0,0.9570202625829539
